Title,Authors,Abstract,Date,URL
"
ExpIt-OOS: Towards Learning from Planning in Imperfect Information Games","Andy Kitchen, Michela Benedetti"," The current state of the art in playing many important perfect information
games, including Chess and Go, combines planning and deep reinforcement
learning with self-play. We extend this approach to imperfect information games
and present ExIt-OOS, a novel approach to playing imperfect information games
within the Expert Iteration framework and inspired by AlphaZero. We use Online
Outcome Sampling, an online search algorithm for imperfect information games in
place of MCTS. While training online, our neural strategy is used to improve
the accuracy of playouts in OOS, allowing a learning and planning feedback loop
for imperfect information games.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10120
"
Rule-based OWL Modeling with ROWLTab Protege Plugin","Md. Kamruzzaman Sarker, Adila Krisnadhi, David Carral, Pascal Hitzler"," It has been argued that it is much easier to convey logical statements using
rules rather than OWL (or description logic (DL)) axioms. Based on recent
theoretical developments on transformations between rules and DLs, we have
developed ROWLTab, a Protege plugin that allows users to enter OWL axioms by
way of rules; the plugin then automatically converts these rules into OWL 2 DL
axioms if possible, and prompts the user in case such a conversion is not
possible without weakening the semantics of the rule. In this paper, we present
ROWLTab, together with a user evaluation of its effectiveness compared to
entering axioms using the standard Protege interface. Our evaluation shows that
modeling with ROWLTab is much quicker than the standard interface, while at the
same time, also less prone to errors for hard modeling tasks.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10108
"
OWLAx: A Protege Plugin to Support Ontology Axiomatization through  Diagramming","Md. Kamruzzaman Sarker, Adila A. Krisnadhi, Pascal Hitzler"," Once the conceptual overview, in terms of a somewhat informal class diagram,
has been designed in the course of engineering an ontology, the process of
adding many of the appropriate logical axioms is mostly a routine task. We
provide a Protege plugin which supports this task, together with a visual user
interface, based on established methods for ontology design pattern modeling.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10105
"
Modeling OWL with Rules: The ROWL Protege Plugin","Md. Kamruzzaman Sarker, David Carral, Adila A. Krisnadhi, Pascal Hitzler"," In our experience, some ontology users find it much easier to convey logical
statements using rules rather than OWL (or description logic) axioms. Based on
recent theoretical developments on transformations between rules and
description logics, we develop ROWL, a Protege plugin that allows users to
enter OWL axioms by way of rules; the plugin then automatically converts these
rules into OWL DL axioms if possible, and prompts the user in case such a
conversion is not possible without weakening the semantics of the rule.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10104
"
Reasoning about Actions and State Changes by Injecting Commonsense  Knowledge","Niket Tandon, Bhavana Dalvi Mishra, Joel Grus, Wen-tau Yih, Antoine Bosselut, Peter Clark"," Comprehending procedural text, e.g., a paragraph describing photosynthesis,
requires modeling actions and the state changes they produce, so that questions
about entities at different timepoints can be answered. Although several recent
systems have shown impressive progress in this task, their predictions can be
globally inconsistent or highly improbable. In this paper, we show how the
predicted effects of actions in the context of a paragraph can be improved in
two ways: (1) by incorporating global, commonsense constraints (e.g., a
non-existent entity cannot be destroyed), and (2) by biasing reading with
preferences from large-scale corpora (e.g., trees rarely move). Unlike earlier
methods, we treat the problem as a neural structured prediction task, allowing
hard and soft constraints to steer the model away from unlikely predictions. We
show that the new model significantly outperforms earlier systems on a
benchmark dataset for procedural text comprehension (+8% relative gain), and
that it also avoids some of the nonsensical predictions that earlier systems
make.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10012
"
Learning End-to-end Autonomous Driving using Guided Auxiliary  Supervision","Ashish Mehta, Adithya Subramanian, Anbumani Subramanian"," Learning to drive faithfully in highly stochastic urban settings remains an
open problem. To that end, we propose a Multi-task Learning from Demonstration
(MT-LfD) framework which uses supervised auxiliary task prediction to guide the
main task of predicting the driving commands. Our framework involves an
end-to-end trainable network for imitating the expert demonstrator's driving
commands. The network intermediately predicts visual affordances and action
primitives through direct supervision which provide the aforementioned
auxiliary supervised guidance. We demonstrate that such joint learning and
supervised guidance facilitates hierarchical task decomposition, assisting the
agent to learn faster, achieve better driving performance and increases
transparency of the otherwise black-box end-to-end network. We run our
experiments to validate the MT-LfD framework in CARLA, an open-source urban
driving simulator. We introduce multiple non-player agents in CARLA and induce
temporal noise in them for realistic stochasticity.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10393
"
Robot_gym: accelerated robot training through simulation in the cloud  with ROS and Gazebo","Víctor Mayoral Vilches, Alejandro Hernández Cordero, Asier Bilbao Calvo, Irati Zamalloa Ugarte, Risto Kojcev"," Rather than programming, training allows robots to achieve behaviors that
generalize better and are capable to respond to real-world needs. However, such
training requires a big amount of experimentation which is not always feasible
for a physical robot. In this work, we present robot_gym, a framework to
accelerate robot training through simulation in the cloud that makes use of
roboticists' tools, simplifying the development and deployment processes on
real robots. We unveil that, for simple tasks, simple 3DoF robots require more
than 140 attempts to learn. For more complex, 6DoF robots, the number of
attempts increases to more than 900 for the same task. We demonstrate that our
framework, for simple tasks, accelerates the robot training time by more than
33% while maintaining similar levels of accuracy and repeatability.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10369
"
Baidu Apollo Auto-Calibration System - An Industry-Level Data-Driven and  Learning based Vehicle Longitude Dynamic Calibrating Algorithm","Fan Zhu, Lin Ma, Xin Xu, Dingfeng Guo, Xiao Cui, Qi Kong"," For any autonomous driving vehicle, control module determines its road
performance and safety, i.e. its precision and stability should stay within a
carefully-designed range. Nonetheless, control algorithms require vehicle
dynamics (such as longitudinal dynamics) as inputs, which, unfortunately, are
obscure to calibrate in real time. As a result, to achieve reasonable
performance, most, if not all, research-oriented autonomous vehicles do manual
calibrations in a one-by-one fashion. Since manual calibration is not
sustainable once entering into mass production stage for industrial purposes,
we here introduce a machine-learning based auto-calibration system for
autonomous driving vehicles. In this paper, we will show how we build a
data-driven longitudinal calibration procedure using machine learning
techniques. We first generated offline calibration tables from human driving
data. The offline table serves as an initial guess for later uses and it only
needs twenty-minutes data collection and process. We then used an
online-learning algorithm to appropriately update the initial table (the
offline table) based on real-time performance analysis. This longitudinal
auto-calibration system has been deployed to more than one hundred Baidu Apollo
self-driving vehicles (including hybrid family vehicles and electronic
delivery-only vehicles) since April 2018. By August 27, 2018, it had been
tested for more than two thousands hours, ten thousands kilometers (6,213
miles) and yet proven to be effective.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10134
"
Learning a Policy for Opportunistic Active Learning","Aishwarya Padmakumar, Peter Stone, Raymond J. Mooney"," Active learning identifies data points to label that are expected to be the
most useful in improving a supervised model. Opportunistic active learning
incorporates active learning into interactive tasks that constrain possible
queries during interactions. Prior work has shown that opportunistic active
learning can be used to improve grounding of natural language descriptions in
an interactive object retrieval task. In this work, we use reinforcement
learning for such an object retrieval task, to learn a policy that effectively
trades off task completion with model improvement that would benefit future
tasks.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10009
"
Learning End-to-End Goal-Oriented Dialog with Multiple Answers","Janarthanan Rajendran, Jatin Ganhotra, Satinder Singh, Lazaros Polymenakos"," In a dialog, there can be multiple valid next utterances at any point. The
present end-to-end neural methods for dialog do not take this into account.
They learn with the assumption that at any time there is only one correct next
utterance. In this work, we focus on this problem in the goal-oriented dialog
setting where there are different paths to reach a goal. We propose a new
method, that uses a combination of supervised learning and reinforcement
learning approaches to address this issue. We also propose a new and more
effective testbed, permuted-bAbI dialog tasks, by introducing multiple valid
next utterances to the original-bAbI dialog tasks, which allows evaluation of
goal-oriented dialog systems in a more realistic setting. We show that there is
a significant drop in performance of existing end-to-end neural methods from
81.5% per-dialog accuracy on original-bAbI dialog tasks to 30.3% on
permuted-bAbI dialog tasks. We also show that our proposed method improves the
performance and achieves 47.3% per-dialog accuracy on permuted-bAbI dialog
tasks.
",(Submitted on 24 Aug 2018),https://arxiv.org/abs/1808.09996
