Title,Authors,Abstract,Date,URL
"
Improved approximation algorithms for hitting 3-vertex paths","Samuel Fiorini, Gwenaël Joret, Oliver Schaudt"," We study the problem of deleting a minimum cost set of vertices from a given
vertex-weighted graph in such a way that the resulting graph has no induced
path on three vertices. This problem is often called cluster vertex deletion in
the literature and admits a straightforward 3-approximation algorithm since it
is a special case of the vertex cover problem on a 3-uniform hypergraph.
Recently, You, Wang, and Cao described an efficient 5/2-approximation algorithm
for the unweighted version of the problem. Our main result is a
9/4-approximation algorithm for arbitrary weights, using the local ratio
technique. We further conjecture that the problem admits a 2-approximation
algorithm and give some support for the conjecture. This is in sharp contrast
with the fact that the similar problem of deleting vertices to eliminate all
triangles in a graph is known to be UGC-hard to approximate to within a ratio
better than 3, as proved by Guruswami and Lee.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10370
"
Algorithms and Bounds for Drawing Directed Graphs","Giacomo Ortali, Ioannis G. Tollis"," In this paper we present a new approach to visualize directed graphs and
their hierarchies that completely departs from the classical four-phase
framework of Sugiyama and computes readable hierarchical visualizations that
contain the complete reachability information of a graph. Additionally, our
approach has the advantage that only the necessary edges are drawn in the
drawing, thus reducing the visual complexity of the resulting drawing.
Furthermore, most problems involved in our framework require only polynomial
time. Our framework offers a suite of solutions depending upon the
requirements, and it consists of only two steps: (a) the cycle removal step (if
the graph contains cycles) and (b) the channel decomposition and hierarchical
drawing step. Our framework does not introduce any dummy vertices and it keeps
the vertices of a channel vertically aligned. The time complexity of the main
drawing algorithms of our framework is $O(kn)$, where $k$ is the number of
channels, typically much smaller than $n$ (the number of vertices).
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10364
"
Fully Dynamic MIS in Uniformly Sparse Graphs","Krzysztof Onak, Baruch Schieber, Shay Solomon, Nicole Wein"," We consider the problem of maintaining a maximal independent set (MIS) in a
dynamic graph subject to edge insertions and deletions. Recently, Assadi, Onak,
Schieber and Solomon (STOC 2018) showed that an MIS can be maintained in
sublinear (in the dynamically changing number of edges) amortized update time.
In this paper we significantly improve the update time for uniformly sparse
graphs. Specifically, for graphs with arboricity $\alpha$, the amortized update
time of our algorithm is $O(\alpha^2 \cdot \log^2 n)$, where $n$ is the number
of vertices. For low arboricity graphs, which include, for example, minor-free
graphs as well as some classes of `real world' graphs, our update time is
polylogarithmic. Our update time improves the result of Assadi et al. for all
graphs with arboricity bounded by $m^{3/8 - \epsilon}$, for any constant
$\epsilon > 0$. This covers much of the range of possible values for
arboricity, as the arboricity of a general graph cannot exceed $m^{1/2}$.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10316
"
Consistent Sampling with Replacement",Ronald L. Rivest," We describe a very simple method for `consistent sampling' that allows for
sampling with replacement. The method extends previous approaches to consistent
sampling, which assign a pseudorandom real number to each element, and sample
those with the smallest associated numbers. When sampling with replacement, our
extension gives the item sampled a new, larger, associated pseudorandom number,
and returns it to the pool of items being sampled.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10016
"
Submodular Maximization with Packing Constraints in Parallel","Alina Ene, Huy L. Nguyen, Adrian Vladu"," We consider the problem of maximizing the multilinear extension of a
submodular function subject to packing constraints in parallel. For monotone
functions, we obtain a $1-1/e-\epsilon$ approximation using
$O(\log(n/\epsilon)\log(m)/\epsilon^2)$ rounds of adaptivity and evaluations of
the function and its gradient, where $m$ is the number of packing constraints
and $n$ is the number of variables. For non-monotone functions, we obtain a
$1/e-\epsilon$ approximation using
$O(\log(n/\epsilon)\log(1/\epsilon)\log(n+m)/\epsilon^2)$ rounds of adaptivity
and evaluations of the function and its gradient. Our results apply more
generally to the problem of maximizing a diminishing returns submodular
(DR-submodular) function subject to packing constraints.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09987
"
Differentially Private Change-Point Detection","Rachel Cummings, Sara Krehbiel, Yajun Mei, Rui Tuo, Wanrong Zhang"," The change-point detection problem seeks to identify distributional changes
at an unknown change-point k* in a stream of data. This problem appears in many
important practical settings involving personal data, including
biosurveillance, fault detection, finance, signal detection, and security
systems. The field of differential privacy offers data analysis tools that
provide powerful worst-case privacy guarantees. We study the statistical
problem of change-point detection through the lens of differential privacy. We
give private algorithms for both online and offline change-point detection,
analyze these algorithms theoretically, and provide empirical validation of our
results.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10056
"
Recent progress on scaling algorithms and applications","Ankit Garg, Rafael Oliveira"," Scaling problems have a rich and diverse history, and thereby have found
numerous applications in several fields of science and engineering. For
instance, the matrix scaling problem has had applications ranging from
theoretical computer science to telephone forecasting, economics, statistics,
optimization, among many other fields. Recently, a generalization of matrix
scaling known as operator scaling has found applications in non-commutative
algebra, invariant theory, combinatorics and algebraic complexity; and a
further generalization (tensor scaling) has found more applications in quantum
information theory, geometric complexity theory and invariant theory. In this
survey, we will describe in detail the scaling problems mentioned above,
showing how alternating minimization algorithms naturally arise in this
setting, and we shall present a general framework to rigorously analyze such
algorithms. These simple problems and algorithms are not just applicable to
diverse mathematical and CS areas, but also serve to bring out deep connections
between them. As this framework makes extensive use of concepts from invariant
theory, we also provide a very gentle introduction to basic concepts of
invariant theory and how they are used to analyze alternating minimization
algorithms for the scaling problems. This survey is intended for a general
computer science audience, and the only background required is basic knowledge
of calculus and linear algebra, thereby making it accessible to graduate
students and even to advanced undergraduates.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09669
"
Approximately counting bases of bicircular matroids","Heng Guo, Mark Jerrum"," We give a fully polynomial-time randomised approximation scheme (FPRAS) for
the number of bases in a bicircular matroids. This is a natural class of
matroids for which counting bases exactly is #P-hard and yet approximate
counting can be done efficiently.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09548
"
Enumerating Top-k Quasi-Cliques","Seyed-Vahid Sanei-Mehri, Apurba Das, Srikanta Tirthapura"," Quasi-cliques are dense incomplete subgraphs of a graph that generalize the
notion of cliques. Enumerating quasi-cliques from a graph is a robust way to
detect densely connected structures with applications to bio-informatics and
social network analysis. However, enumerating quasi-cliques in a graph is a
challenging problem, even harder than the problem of enumerating cliques. We
consider the enumeration of top-k degree-based quasi-cliques, and make the
following contributions: (1) We show that even the problem of detecting if a
given quasi-clique is maximal (i.e. not contained within another quasi-clique)
is NP-hard (2) We present a novel heuristic algorithm KernelQC to enumerate the
k largest quasi-cliques in a graph. Our method is based on identifying kernels
of extremely dense subgraphs within a graph, following by growing subgraphs
around these kernels, to arrive at quasi-cliques with the required densities
(3) Experimental results show that our algorithm accurately enumerates
quasi-cliques from a graph, is much faster than current state-of-the-art
methods for quasi-clique enumeration (often more than three orders of magnitude
faster), and can scale to larger graphs than current methods.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.09531
"
Level Planarity: Transitivity vs. Even Crossings","Guido Brückner, Ignaz Rutter, Peter Stumpf"," Recently, Fulek et al. have presented Hanani-Tutte results for (radial) level
planarity, i.e., a graph is (radial) level planar if it admits a (radial) level
drawing where any two (independent) edges cross an even number of times. We
show that the 2-Sat formulation of level planarity testing due to Randerath et
al. is equivalent to the strong Hanani-Tutte theorem for level planarity.
Further, we show that this relationship carries over to radial level planarity,
which yields a novel polynomial-time algorithm for testing radial level
planarity.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09931
