Title,Authors,Abstract,Date,URL
"
The Star-Planet Activity Research CubeSat (SPARCS): A Mission to  Understand the Impact of Stars in Exoplanets","David R. Ardila, Evgenya Shkolnik, Paul Scowen, April Jewell, Shouleh Nikzad, Judd Bowman, Michael Fitzgerald, Daniel Jacobs, Constance Spittler, Travis Barman, Sarah Peackock, Matthew Beasley, Varoujan Gorgian, Joe Llama, Victoria Meadows, Mark Swain, Robert Zellem"," The Star-Planet Activity Research CubeSat (SPARCS) is a NASA-funded
astrophysics mission, devoted to the study of the ultraviolet (UV) time-domain
behavior in low-mass stars. Given their abundance and size, low-mass stars are
important targets in the search for habitable-zone, exoplanets. However, not
enough is known about the stars flare and quiescent emission, which powers
photochemical reactions on the atmospheres of possible planets. Over its
initial 1-year mission, SPARCS will stare at ~10 stars in order to measure
short- (minutes) and long- (months) term variability simultaneously in the
near-UV (NUV - lam = 280 nm) and far-UV (FUV - lam = 162 nm). The SPARCS
payload consists of a 9-cm reflector telescope paired with two high-sensitivity
2D-doped CCDs. The detectors are kept passively cooled at 238K, in order to
reduce dark-current contribution. The filters have been selected to provide
strong rejection of longer wavelengths, where most of the starlight is emitted.
The payload will be integrated within a 6U CubeSat to be placed on a
Sun-synchronous terminator orbit, allowing for long observing stares for all
targets. Launch is expected to occur not earlier than October 2021.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09954
"
QuasarNET: Human-level spectral classification and redshifting with Deep  Neural Networks","Nicolas Busca, Christophe Balland"," We introduce QuasarNET, a deep convolutional neural network that performs
classification and redshift estimation of astrophysical spectra with
human-expert accuracy. We pose these two tasks as a \emph{feature detection}
problem: presence or absence of spectral features determines the class, and
their wavelength determines the redshift, very much like human-experts proceed.
When ran on BOSS data to identify quasars through their emission lines,
QuasarNET defines a sample $99.51\pm0.03$\% pure and $99.52\pm0.03$\% complete,
well above the requirements of many analyses using these data. QuasarNET
significantly reduces the problem of line-confusion that induces catastrophic
redshift failures to below 0.2\%. We also extend QuasarNET to classify spectra
with broad absorption line (BAL) features, achieving an accuracy of
$98.0\pm0.4$\% for recognizing BAL and $97.0\pm0.2$\% for rejecting non-BAL
quasars. QuasarNET is trained on data of low signal-to-noise and medium
resolution, typical of current and future astrophysical surveys, and could be
easily applied to classify spectra from current and upcoming surveys such as
eBOSS, DESI and 4MOST.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09955
"
Analytical model of compact star in low-mass X-ray binary with de Sitter  spacetime","Sajahan Molla, Rabiul Islam, Md. Abdul Kayum Jafry, Mehedi Kalam"," In this article, we introduce a de-sitter model in favor of compact stars in
low-mass X-ray binary. Here, we merge the presence of the cosmological constant
on a small scale to discussion the stellar structure and conclude that this
doping is very well suitable with the familiar physical mode of the low-mass
X-ray binary compact stars. We calculate the probable radii, compactness (u)
and surface red-shift (Zs) of six compact stars in low-mass X-ray binaries
namely Cyg X-2, V395 Carinae/2S 0921-630, XTE J2123-058, X1822-371 (V691 CrA),
4U 1820-30 and GR Mus (XB 1254-690). We also offer possible equation of state
(EOS) of the stellar object.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09960
"
MCMC determination of the cosmic UV background at $z\simeq 0$ from  H$α$ fluorescence","Davide Caruso, Francesco Haardt, Michele Fumagalli, Sebastiano Cantalupo"," In a recent paper (Fumagalli et al. 2017) we reported on the detection of a
diffuse H$\alpha$ glow in the outskirts of the nearby, edge-on disc galaxy UGC
7321 observed with the Multi Unit Spectroscopic Explorer (MUSE) at the ESO Very
Large Telescope. By interpreting the H$\alpha$ emission as fluorescence arising
from hydrogen ionised by an external (i.e., extragalactic) radiation field, we
estimated the UV background (UVB) intensity in terms of HI ionisation rate (per
ion) at $z\simeq 0$ to be in the range $\Gamma_{\rm HI}\sim 6-8\times 10^{-14}$
s$^{-1}$. In the present work, by performing radiative transfer calculations
over a large set of models of the gaseous disc of UGC 7321, we refine our
estimate and through an MCMC analysis derive a value for the photoionisaton
rate of $\Gamma_{\rm HI}=7.27^{+2.93}_{-2.90}\times 10^{-14}$ s$^{-1}$. In
particular, our analysis demonstrates that this value is robust against large
variations in the galaxy model and that the uncertainties are mainly driven by
the errors associated with the observed H$\alpha$ surface brightness. Our
measurement is consistent with several recent determinations of the same
quantity by a completely independent technique (i.e., flux decrement analysis
of the Ly$\alpha$-forest), and support the notion that the low redshift UVB is
largely dominated by active galactic nuclei (AGNs), possibly with no need of
further contribution from star forming galaxies.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09961
"
Dust Production and Depletion in Evolved Planetary Systems","J. Farihi, R. van Lieshout, P. W. Cauley, E. Dennihy, K. Y. L. Su, S. J. Kenyon, T. G. Wilson, O. Toloza, B. T. Gänsicke, T. von Hippel, S. Redfield, J. H. Debes, S. Xu, L. Rogers, A. Bonsor, A. Swan, A. F. Pala, W. T. Reach"," The infrared dust emission from the white dwarf GD 56 is found to rise and
fall by 20% peak-to-peak over 11.2 yr, and is consistent with ongoing dust
production and depletion. It is hypothesized that the dust is produced via
collisions associated with an evolving dust disk, temporarily increasing the
emitting surface of warm debris, and is subsequently destroyed or assimilated
within a few years. The variations are consistent with debris that does not
change temperature, indicating that dust is produced and depleted within a
fixed range of orbital radii. Gas produced in collisions may rapidly
re-condense onto grains, or may accrete onto the white dwarf surface on viscous
timescales that are considerably longer than Poynting-Robertson drag for
micron-sized dust. This potential delay in mass accretion rate change is
consistent with multi-epoch spectra of the unchanging Ca II and Mg II
absorption features in GD 56 over 15 yr, although the sampling is sparse.
Overall these results indicate that collisions are likely to be the source of
dust and gas, either inferred or observed, orbiting most or all polluted white
dwarfs.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09967
"
Extreme Spheres: Counts-in-cells for 21cm intensity mapping","Oliver Leicht, Cora Uhlemann, Francisco Villaescusa-Navarro, Sandrine Codis, Lars Hernquist, Shy Genel"," Intensity mapping surveys will provide access to a coarse view of the cosmic
large-scale structure in unprecedented large volumes at high redshifts. Given
the large fractions of the sky that can be efficiently scanned using emission
from cosmic neutral hydrogen (HI), intensity mapping is ideally suited to probe
a wide range of density environments and hence to constrain cosmology and
fundamental physics. To efficiently extract information from 21cm intensities
beyond average, one needs non-Gaussian statistics that capture large deviations
from mean HI density. Counts-in-cells statistics are ideally suited for this
purpose, as the statistics of matter densities in spheres can be predicted
accurately on scales where their variance is below unity.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09968
"
A concordance picture of FRB 121102 as a flaring magnetar embedded in a  magnetized ion-electron wind nebula","Ben Margalit, Brian D. Metzger"," The fast radio burst FRB 121102 has repeated multiple times, enabling the
identification of its host galaxy and of a spatially-coincident, compact,
steady (`quiescent') radio synchrotron source. It was proposed that FRB 121102
is powered by a young flaring magnetar, embedded within a decades-old supernova
remnant. Using a time-dependent one-zone model, we show that a single expanding
magnetized electron-ion nebula (powered by the same outbursts likely
responsible for the FRBs) can explain all the basic properties of the quiescent
source (size, flux, self-absorption constraints) and the large but decreasing
rotation measure (RM) of the bursts. The quiescent emission is powered by
relativistic thermal electrons heated at the termination shock of the magnetar
wind, while the RM originates from non-relativistic electrons injected earlier
in the nebula's evolution and cooled through expansion and radiative losses.
The model contains few free parameters, which are tightly constrained by
observations: the total energy injected into the nebula over its history, $\sim
10^{50}-10^{51}$ erg, agrees with the magnetic energy of a millisecond
magnetar; the baryon loading of the magnetar outflow (driven by intermittent
flares) is close to the neutron star escape speed; the predicted source age
$\sim 20-50$ years is consistent with other constraints on the nebula size. For
an energy input rate $\dot{E} \propto t^{-\alpha}$ following the onset of
magnetar activity, we predict secular decay of the RM and quiescent source
flux, which approximately follow ${\rm RM} \propto t^{-(6+\alpha)/2}$ and
$F_{\nu} \propto t^{-(\alpha^2+7\alpha-2)/4}$, respectively.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09969
"
Origin of CGM OVI in cosmological simulations: redshift, mass and radial  dependence of collisional and photo ionization","S. Roca-Fàbrega, A. Dekel, Y. Faerman, O. Gnat, C. Strawn, D. Ceverino, J. Primack, A. V. Macciò, A. A. Dutton, J. X. Prochaska, J. Stern"," We study the components of cool and warm/hot gas in the circumgalactic medium
(CGM) of simulated galaxies and address the relative production of OVI by
photoionization versus collisional ionization, as a function of halo mass,
redshift, and distance from the galaxy halo center. This is done utilizing two
different suites of zoom-in hydro-cosmological simulations, VELA and NIHAO,
which yield consistent results despite the different codes and different
physical recipes for star formation and feedback. We find that collisional
ionization by thermal electrons dominates at high redshift, while
photoionization of cool or warm gas by the metagalactic radiation takes over
near $z \sim 2$. In halos of $\sim$10$^{12}$ M$_{\odot}$ and above, collisions
become important again at $z<0.5$, while photoionization remains significant
down to $z=0$ for less massive halos. In halos with M > $3 \times 10^{11}$
M$_{\odot}$, most of the photoionized gas at $z \sim 0$ is in the warm phase,
just below the OVI peak ($T \lesssim 3 \times 10^5$ K). We also find that
collisions are dominant in the central regions of halos, while photoionization
is more significant at the outskirts, around ${\rm R_v}$, even in massive
halos. This too may be explained by the presence of warm gas or, in lower mass
halos, by cool gas inflows. The position in redshift of the peak in the
photoionized OVI fraction is dependent on feedback implementation. In the
future, observational estimation of the peak redshift can be used to test
feedback implementation in simulations. The penetration of cool gas into the
warm-hot CGM of high-mass halos also depends on the accretion rate and feedback
strength.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09973
"
Detecting the Orbital Motion of Nearby Supermassive Black Hole Binaries  with Gaia","Daniel J. D'Orazio, Abraham Loeb"," We show that a 5 year Gaia mission could astrometrically detect the orbital
motion of up to a hundred supermassive black hole binaries with sub-parsec
separations in the hearts of nearby, bright active galactic nuclei (AGN). The
AGN lie out to a redshift of z=0.1 and in the V-band magnitude range 12 < m_V <
16. The distribution of detectable binary masses peaks around $10^8$ solar
masses and is truncated above ~$10^9$ solar masses.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09974
"
Magnetic buoyancy in simulated galactic discs with a realistic circum  galactic medium","Ulrich P. Steinwandel, Marcus C. Beck, Alexander Arth, Klaus Dolag, Benjamin P. Moster, Peter Nielaba"," We present simulations of isolated disc galaxies in a realistic environment
performed with the Tree-SPMHD-Code Gadget-3. Our simulations include a
spherical circum-galactic medium (CGM) surrounding the galactic disc, motivated
by observations and the results of cosmological simulations. We present three
galactic models with different halo masses between 10e10 Msol and 10e12 Msol,
and for each we use two different approaches to seed the magnetic field, as
well as a control simulation without a magnetic field. We find that the
amplification of the magnetic field in the centre of the disc leads to a
biconical magnetic outflow of gas that magnetizes the CGM. This biconical
magnetic outflow reduces the star formation rate (SFR) of the galaxy by roughly
40 percent compared to the simulations without magnetic fields. As the key
aspect of our simulations, we find that small scale turbulent motion of the gas
in the disc leads to the amplification of the magnetic field up to tens of
10e-6 G, as long as the magnetic field strength is low. For stronger magnetic
fields turbulent motion does not lead to significant amplification but is
replaced by an alpha-omega dynamo. The occurance of a small scale turbulent
dynamo becomes apparent through the magnetic power spectrum and analysis of the
field lines' curvature. In accordance with recent observations we find an
anti-correlation between the spiral structure in the gas density and in the
magnetic field due to a diffusion term added to the induction equation.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09975
