Title,Authors,Abstract,Date,URL
"
Entanglement of single-photons and chiral phonons in atomically thin  WSe$_2$","Xiaotong Chen, Xin Lu, Sudipta Dubey, Qiang Yao, Sheng Liu, Xingzhi Wang, Qihua Xiong, Lifa Zhang, Ajit Srivastava"," Quantum entanglement is a fundamental phenomenon which, on the one hand,
reveals deep connections between quantum mechanics, gravity and the space-time;
on the other hand, has practical applications as a key resource in quantum
information processing. While it is routinely achieved in photon-atom
ensembles, entanglement involving the solid-state or macroscopic objects
remains challenging albeit promising for both fundamental physics and
technological applications. Here, we report entanglement between collective,
chiral vibrations in two-dimensional (2D) WSe$_2$ host --- chiral phonons (CPs)
--- and single-photons emitted from quantum dots (QDs) present in it. CPs which
carry angular momentum were recently observed in WSe$_2$ and are a
distinguishing feature of the underlying honeycomb lattice. The entanglement
results from a ""which-way"" scattering process, involving an optical excitation
in a QD and doubly-degenerate CPs, which takes place via two indistinguishable
paths. Our unveiling of entanglement involving a macroscopic, collective
excitation together with strong interaction between CPs and QDs in 2D materials
opens up ways for phonon-driven entanglement of QDs and engineering chiral or
non-reciprocal interactions at the single-photon level.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09984
"
Spin-orbit effects surfacing on manganites","S. Valencia, M.J. Calderón, L. López-Mir, Z. Kostantinovic, E. Schierle, E. Weschke, L. Brey, B. Martínez, Ll. Balcells"," Spin-orbit coupling in magnetic systems lacking inversion symmetry can give
rise to non trivial spin textures. Magnetic thin films and heterostructures are
potential candidates for the formation of skyrmions and other non-collinear
spin configurations as inversion symmetry is inherently lost at their surfaces
and interfaces. However, manganites, in spite of their extraordinarily rich
magnetic phase diagram, have not yet been considered of interest within this
context as their spin-orbit coupling is assumed to be negligible. We
demonstrate here, by means of angular dependent X-ray linear dichroism
experiments and theoretical calculations, the existence of a noncollinear
antiferromagnetic ordering at the surface of ferromagnetic
La$_{2/3}$Sr$_{1/3}$MnO$_3$ thin films whose properties can only be explained
by an unexpectedly large enhancement of the spin-orbit interaction. Our results
reveal that spin-orbit coupling, usually assumed to be very small on
manganites, can be significantly enhanced at surfaces and interfaces adding a
new twist to the possible magnetic orders that can arise in electronically
reconstructed systems.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09990
"
Finite-temperature charge dynamics and the melting of the Mott insulator","Xing-Jie Han, Chuang Chen, Jing Chen, Hai-Dong Xie, Rui-Zhen Huang, Hai-Jun Liao, Bruce Normand, Zi Yang Meng, Tao Xiang"," The Mott insulator is the quintessential strongly correlated electronic
state. A full understanding of the coupled charge and spin dynamics of the
Mott-insulating state is thought to be the key to a range of phenomena in
ultracold atoms and condensed matter, including high-$T_{c}$ superconductivity.
Here we extend the slave-fermion (holon-doublon) description of the
two-dimensional Mott insulator to finite temperatures. We benchmark its
predictions against state-of-the-art quantum Monte Carlo simulations, finding
quantitative agreement. Qualitatively, the short-ranged spin fluctuations at
any finite temperatures are sufficient to induce holon-doublon bound states,
and renormalize the charge sector to form the Hubbard bands. The Mott gap is
understood as the charge (holon-doublon) gap renormalized downwards by these
spin fluctuations. With increasing temperature, the Mott gap closes while the
charge gap remains finite, causing a pseudogap regime to appear naturally
during the process of melting the Mott insulator.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09994
"
Magnetoelectric effect in cylindrical topological insulators",A. Martín-Ruiz," Topological insulators (TIs) exhibit a quantized magnetoelectric response
when time-reversal symmetry is broken on its surface. This unusual
electromagnetic (EM) response is a unique macroscopic manifestation of the
quantum Hall effect on the TI surface and it is described by a quantized
Chern-Simons theory. In this paper, we construct the Green's function (GF)
describing the EM response of two topological media separated by a cylindrical
interface. This GF, in the appropriate limits, describes the magnetoelectric
effect of both i) a cylindrical TI surrounded by a dielectric fluid, and ii) a
TI with a cylindrical dielectric-filled cavity. We calculate the EM fields
produced by a line charge and a line current near the TI surface and we show
that, in addition to the standard image electromagnetic sources, charge and
current densities of magnetic monopoles will also appear. We discuss some
experimental setups which could be used to test these magnetic monopole fields.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10003
"
Viscoelastic shear stress relaxation in two-dimensional glass forming  liquids","Elijah Flenner, Grzegorz Szamel"," Translational dynamics of two-dimensional glass forming fluids is strongly
influenced by soft, long-wavelength fluctuations first recognized by D. Mermin
and H. Wagner. As a result of these fluctuations, characteristic features of
glassy dynamics, such as plateaus in the mean squared displacement and the
self-intermediate scattering function, are absent in two dimensions. In
contrast, Mermin-Wagner fluctuations do not influence orientational relaxation
and well developed plateaus are observed in orientational correlation
functions. It has been suggested that by monitoring translational motion of
particles relative to that of their neighbors, one can recover characteristic
features of glassy dynamics and thus disentangle the Mermin-Wagner fluctuations
from the two-dimensional glass transition. Here we use molecular dynamics
simulations to study viscoelastic relaxation in two and three dimensions. We
find different behavior of the dynamic modulus below the onset of slow dynamics
(determined by the orientational or cage-relative correlation functions) in two
and three dimensions. The dynamic modulus for two-dimensional supercooled
fluids is more stretched than for three-dimensional supercooled fluids and it
does not exhibit a plateau, which implies the absence of glassy viscoelastic
relaxation. At lower temperatures, the two-dimensional dynamic modulus starts
exhibiting an intermediate time plateau and decays similarly to the
three-dimensional dynamic modulus. The differences in the glassy behavior of
two- and three-dimensional glass forming fluids parallel differences in the
ordering scenarios in two and three dimensions.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10004
"
Fast and accessible first-principles calculations of vibrational  properties of materials","Timur Bazhirov, E. X. Abot"," We present example applications of an approach to first-principles
calculations of vibrational properties of materials implemented within the
Exabyte.io platform. We deploy models based on the Density Functional
Perturbation Theory to extract the phonon dispersion relations and densities of
states for an example set of 35 samples and find the results to be in agreement
with prior similar calculations. We construct modeling workflows that are both
accessible, accurate, and efficient with respect to the human time involved.
This is achieved through efficient parallelization of the tasks for the
individual vibrational modes. We report achieved speedups in the 10-100 range,
approximately, and maximum attainable speedups in the 30-300 range,
correspondingly. We analyze the execution times on the current up-to-date
computational infrastructure centrally available from a public cloud provider.
Results and all associated data, including the materials and simulation
workflows, are made available online in an accessible, repeatable and
extensible setting.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10011
"
Electronic structure of graphene-nanoribbons on hexagonal boron nitride","Yohanes S. Gani, D.S.L. Abergel, Enrico Rossi"," Hexagonal boron nitride is an ideal dielectric to form two-dimensional
heterostructures due to the fact that it can be exfoliated to be just few atoms
thick and its a very low density of defects. By placing graphene nanoribbons on
high quality hexagonal boron nitride it is possible to create ideal quasi one
dimensional (1D) systems with very high mobility. The availability of high
quality one-dimensional electronic systems is of great interest also given that
when in proximity to a superconductor they can be effectively engineered to
realize Majorana bound states. In this work we study how a boron nitride
substrate affects the electronic properties of graphene nanoribbons. We
consider both armchair and zigzag nanoribbons. Our results show that for some
stacking configurations the boron nitride can significantly affect the
electronic structure of the ribbons. In particular, for zigzag nanoribbons, due
to the lock between spin and sublattice degree of freedom at the edges, the
hexagonal boron nitride can induce a very strong spin-splitting of the spin
polarized, edge sates. We find that such spin-splitting can be as high as
40~meV.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10039
"
Pressure-induced multiple phase transformations of the BaBi$_3$  superconductor","Li Xiang, Raquel A. Ribeiro, Udhara S. Kaluarachchi, Elena Gati, Manh Cuong Nguyen, Cai-Zhuang Wang, Kai-Ming Ho, Sergey L. Bud'ko, Paul C. Canfield"," Measurements of temperature-dependent resistance and magnetization under
hydrostatic pressures up to 2.13 GPa are reported for single-crystalline,
superconducting BaBi$_3$. A temperature - pressure phase diagram is determined
and the results suggest three different superconducting phases ${\alpha}$,
$\beta$, and $\gamma$ in the studied pressure range. We further show that
occurrence of the three superconducting phases is intuitively linked to phase
transitions at higher temperature which are likely first order in nature.
$T_p$, which separates phase ${\alpha}$ from $\beta$ and $\gamma$, is
associated with an abrupt resistance change as pressure is increased from 0.27
GPa to 0.33 GPa. Above 0.33 GPa, an ""S-shape"" anomaly in the
temperature-dependent resistance curve, $T_\text S$, is observed and associated
with the transition between the $\beta$ and $\gamma$ phases. Further increasing
of pressure above 1.05 GPa suppresses this transition and BaBi$_3$ stays in
$\gamma$ phase over the whole investigated temperature range. These
high-temperature anomalies are likely related to structural degrees of freedom.
With the ${\alpha}$ phase being the ambient-pressure tetragonal structure
($P4/mmm$), our first-principle calculations suggest the $\beta$ phase to be
cubic structure ($Pm-3m$) and the $\gamma$ phase to be a distorted tetragonal
structure where the Bi atoms are moved out of the face-centered position.
Finally, an analysis of the evolution of the superconducting upper critical
field with pressure further confirms these transitions in the superconducting
state and suggests a possible change of band structure or a Lifshitz transition
near 1.54 GPa in $\gamma$ phase. Given the large atomic numbers of both Ba and
Bi, our results establish BaBi$_3$ as a good candidate for the study of the
interplay of structure with superconductivity in the presence of strong
spin-orbit coupling.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10043
"
Emergent flat band lattices in spatially periodic magnetic fields","M. Tahir, Hua Chen"," Motivated by the recent discovery of Mott insulating phase and unconventional
superconductivity due to the flat bands in twisted bilayer graphene, we propose
more generic ways of getting two-dimensional (2D) emergent flat band lattices
using either 2D Dirac materials or ordinary electron gas subject to moderate
periodic magnetic fields with zero spatial average. We provide simple formulas
for the ""magic ratios"" between the field strength and its wavenumber for
getting flat bands, and give an intuitive explanation for their origin by
constructing coarse-grained lattice models. Our work provides new, flexible
platforms for exploring interaction-driven phases in 2D systems with arbitrary
superlattice symmetries.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10046
"
Mapping the full lattice strain tensor of a single dislocation by High  Angular Resolution Transmission Kikuchi Diffraction (HR-TKD)","Hongbing Yu, Junliang Liu, Phani Karamched, Angus J. Wilkinson, Felix Hofmann"," The full lattice strain tensor and lattice rotations induced by a dislocation
in pure tungsten were mapped using high-resolution transmission Kikuchi
diffraction (HR-TKD) in a SEM. The HR-TKD measurement agrees very well with a
forward calculation using an elastically isotropic model of the dislocation and
its Burgers vector. Our results demonstrate that the spatial and angular
resolution of HR-TKD in SEM is sufficiently high to resolve the details of
lattice distortions near individual dislocations. This capability opens a
number of new interesting opportunities, for example determining the Burgers
vector of an unknown dislocation in a fast and straightforward way.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10055
