Title,Authors,Abstract,Date,URL
"
Rainbow gravity corrections to the information flux of a black hole","Zhong-Wen Feng, Shu-Zheng Yang"," In this paper, by utilizing the rainbow functions that were proposed by
Amelino-Camelia \emph{et al}., the information flux of rainbow Schwarzschild
black hole and its sparsity are investigated. To begin with, we calculate the
rainbow gravity corrections to the Hawking temperature and entropy. According
to these modifications, the information flux and the sparsity of Hawking
radiation in rainbow gravity are explored. The results show that the rainbow
gravity has a very significant effect on the information flux. When the mass of
rainbow Schwarzschild black hole approaches to the order of Planck scale, the
Bekenstein entropy loss per emitted quanta in terms of the mass reduces to
zero. Furthermore, we also find that the sparsity of Hawking radiation is no
longer a constant, instead, it monotonically decreases as the mass of black
hole decrease. At the final stages of evaporation, the rainbow sparsity of
Hawking radiation becomes infinity, which indicates the effect quantum gravity
stops the radiation and leads to remnant.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09958
"
Volume of 4-polytopes from bivectors",Benjamin Bahr," In this article we prove a formula for the volume of 4-dimensional polytopes,
in terms of their face bivectors, and the crossings within their boundary
graph. This proves that the volume is an invariant of bivector-coloured graphs
in $S^3$.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09971
"
A Class of Higher-Dimensional Solutions of Einstein's Vacuum Equation","Carlos Batista, Gabriel Luz Almeida"," A new class of higher-dimensional exact solutions of Einstein's vacuum
equation is presented. These metrics are written in terms of the exponential of
a symmetric matrix and when this matrix is diagonal the solution reduces to
higher-dimensional generalizations of Kasner spacetime with a cosmological
constant. On the other hand, the metrics attained when such matrix is
non-diagonal have more intricate algebraic structures. Such solutions have not
been presented in the literature yet.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09998
"
Exact black-hole formation with a conformally coupled scalar field in  three dimensions","Luis Avilés, Hideki Maeda, Cristian Martinez"," We present exact dynamical and inhomogeneous solutions in three-dimensional
AdS gravity with a conformally coupled scalar field. They contain stealth
configurations of the scalar field overflying the BTZ spacetime and also
solutions with a non-vanishing energy-momentum tensor. The latter non-stealth
class consists of the solution obtained by Xu and its analytic extension. It is
shown that this proper extension represents: (i) an eternally shrinking
dynamical black hole, (ii) a curious spacetime which admits an event horizon
without any trapped surface, or (iii) gravitational collapse of a scalar field
in an asymptotically AdS spacetime. In the last case, by attaching the solution
regularly to the past massless BTZ spacetime with a vanishing scalar field, the
whole spacetime represents the black-hole formation from regular initial data
in an asymptotically AdS spacetime. Depending on the parameters, the formed
black hole can be asymptotically static in far future.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10040
"
Coleman-de Luccia Tunneling Wave Function","J. Kristiano, R. D. Lambaga, H. S. Ramadhan"," We revisit the famous Coleman-de Luccia formalism for decay of false vacuum
in gravitational theory. Since the corresponding wave function is
time-independent we argue that its instanton's interpretation as the decay rate
probability is problematic. We instead propose that such phenomenon can better
be described by the Wheeler-de Witt's wave function. To do so, the
Hamilton-Jacobi formalism is employed in the WKB approximation. The scalar and
gravitational fields can then be treated as a two-dimensional effective metric.
For a particular case of dS-to-dS tunneling, we calculated the wave function
and found that it depends only on the potential of the false, and not on the
true, vacuum; reminiscent of, though in totally different formalism with, the
Hawking-Moss result. In general, this alternative approach might have
significant impact on the study of very early universe and quantum cosmology.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10110
"
Quasi-uniform gravitational field of a disk and the equivalence  principle","Alexander J. Silenko, Yury A. Tsalkou"," We calculate the quasi-uniform gravitational field of a disk in the
weak-field approximation and demonstrate an inappropriateness of preceding
results. The Riemann tensor of this field is determined. A nonexistence of the
uniform gravitational field is proven. It is shown that a difference between
equations of a particle motion and a spin rotation in the accelerated frame and
in the quasi-uniform gravitational field of a disk does not violate the
Einstein equivalence principle.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10206
"
Phenomenology of Quantum Reduced Loop Gravity in the isotropic  cosmological sector","Emanuele Alesci, Aurélien Barrau, Gioele Botta, Killian Martineau, Gabriele Stagno"," Quantum reduced loop gravity is designed to consistently study symmetry
reduced systems within the loop quantum gravity framework. In particular, it
bridges the gap between the effective cosmological models of loop quantum
cosmology and the full theory, addressing the dynamics before the
minisuperspace reduction. This mostly preserves the graph structure and SU(2)
quantum numbers. In this article, we study the phenomenological consequences of
the isotropic sector of the theory, the so-called emergent bouncing universe
model. In particular, the parameter space is scanned and we show that the
number of inflationary e-folds is almost always higher than the observational
lower-bound. We also compute the primordial tensor power spectrum and study its
sensitivity upon the fundamental parameters used in the model.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10225
"
Spherical cosmological models: an alternative cosmology",Herwig Dejonghe," The properties of universes are explored that are entirely in the interior of
black holes. It is argued that these models offer a paradigm that may shed a
new light on old cosmological problems. The topics that are addressed include:
geometry of the universes, evolution, relation to the concordance model, dark
matter, dark energy, mass ejection from black holes, galaxy models with a
central black hole, Mach's principle.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.10278
"
Particle creation in the framework of f(G) gravity","R. Rashidi, F. Ahmadi, M.R. Setare"," In this paper, we study the problem of massless particle creation in a flat,
homogeneous and isotropic universe in the framework of $f(G)$ gravity. The
Bogolyubov coefficients are calculated for the accelerating power-law solutions
of the model in a matter dominated universe, from which the total number of
created particle per unit volume of space can be obtained. It is proved that
the total particle density always has a finite value. Therefore, the Bogolyubov
transformations are well-defined and the Hilbert spaces spanned by the vacuum
states at different times are unitarily equivalent. We find that the particles
with small values of the mode $k$ are produced in the past and particles with
large values of $k$ are produced only in the future. The negative pressure
resulting from the gravitational particle creation is also determined. It is
then argued that this pressure even in the presence of energy density and
thermal pressure may affect significantly the cosmic expansion.
",(Submitted on 28 Aug 2018),https://arxiv.org/abs/1808.10279
"
Representations of chiral alternative to vierbein and construction of  non-Abelian instanton solution in curved space-time",K. Maharana," A chiral alternative to the vierbein field in general relativity was
considered by 't Hooft in an attempt to facilitate the construction of a
quantum theory of gravity. These objects $ f^a{}_{\mu\nu}$ behave like the
""cube root"" of the metric tensor. We try to construct specific representations
of these tensors in terms of Dirac $\gamma $ matrices in Euclidean and
Minkowski space, and promote these to curved space through Newman-Penrose
formalism. We conjecture that these are new objects with physical significance
and are the analog of Killing-Yano tensors. As an application, we try to
construct non-Abelian instanton like solutions in curved space from the flat
space 't Hooft tensors. The space part of the tensors are decomposed to a
product of Levi-Civita tensor and flat space Dirac gamma matrices. The gamma
matrices are promoted to the curved space with the help of vierbeins, as in
separability of Dirac equation by Chandrasekhar, using Newman-Penrose
formalism. The curved space generalisation of the instanton solution $A_{\mu}^a
$ is now constructed by substituting all objects to their general covariant
form.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10288
"
Scalar-tensor nonlocal gravity",Shuxun Tian," In order to explain the late-time cosmological acceleration, we propose a new
pure geometric gravity based on Deser-Woodard theory, in which the expansion of
matter-dominated universe can be accelerating. This new theory behaves as well
as general relativity in solar system and gravitational waves. Especially, for
the simplest case, theoretical considerations determine all the parameters
appear in the Lagrangian.
",(Submitted on 30 Aug 2018),https://arxiv.org/abs/1808.10413
"
Measuring our velocity from fluctuations in number counts","Nidhi Pant, Aditya Rotti, Carlos A.P. Bengaly, Roy Maartens"," Our velocity relative to the cosmic microwave background (CMB) generates a
dipole from the CMB monopole, which was accurately measured by COBE. The
relative velocity also modulates and aberrates the CMB fluctuations, generating
a small signature of statistical isotropy violation in the covariance matrix.
This signature was first measured by Planck 2013. Galaxy surveys are similarly
affected by a Doppler boost. The dipole generated from the number count
monopole has been extensively discussed, and measured (at very low accuracy) in
the NVSS and TGSS radio continuum surveys. For the first time, we present an
analysis of the Doppler imprint on the number count fluctuations, using the
bipolar spherical harmonic formalism to quantify these effects. Next-generation
wide-area surveys with a high redshift range are needed to detect the small
Doppler signature in number count fluctuations. We show that radio continuum
surveys with the SKA should enable a detection at $\gtrsim 3 \sigma$ in Phase
2, with marginal detection possible in Phase 1.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09743
"
Double-soft graviton amplitudes and the extended BMS charge algebra","Jacques Distler, Raphael Flauger, Bart Horn"," We discuss how scattering amplitudes in 4d Minkowski spacetime which involve
multiple soft gravitons realize the algebra of BMS charges on the null
boundary. In particular, we show how the commutator of two such charges is
realized by the antisymmetrized consecutive soft limit of the double soft
amplitude. The commutator is found to be robust even in the presence of quantum
corrections, and the associated Lie algebra has an extension, which breaks the
BMS symmetry if the BMS algebra is taken to include the Virasoro algebra of
local superrotations. We discuss the implications of this structure for the
existence of a 2d CFT dual description for 4d scattering amplitudes.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09965
"
The weak null condition and global existence using the p-weighted energy  method",Joseph Keir," We prove global existence for solutions arising from small initial data for a
large class of quasilinear wave equations satisfying the `weak null condition'
of Lindblad and Rodnianski, significantly enlarging upon the class of equations
for which global existence is known. In addition to the usual weak null
condition, we require a certain hierarchical structure in the semilinear terms.
Included in this class are the Einstein equations in harmonic coordinates, so a
special case of our results is a new proof of the stability of Minkowski space.
Our proof also applies to the coupled Einstein-Maxwell system in harmonic
coordinates and Lorenz gauge, as well as to various model scalar wave equations
which do not satisfy the null condition. Our proof also applies to the
Einstein(-Maxwell) equations if, after writing the equations as a set of
nonlinear wave equations, we then `forget' about the gauge conditions. The
methods we use allow us to treat initial data which only has a small
`degenerate energy', involving a weight that degenerates at null infinity, so
the usual (unweighted) energy might be unbounded. We also demonstrate a
connection between the weak null condition and geometric shock formation,
showing that equations satisfying the weak null condition can exhibit `shock
formation at infinity', of which we provide an explicit example. The methods
that we use are very robust, including a generalisation of the p-weighted
energy method of Dafermos and Rodnianski, adapted to the dynamic geometry. This
means that our proof applies in a wide range of situations, include those in
which the metric remains close to, but never approaches the flat metric in some
spatially bounded domain, and those in which the `geometric' null infinity and
the `background' null infinity differ dramatically, for example, when the
solution exhibits shock formation at null infinity.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.09982
"
Chaos and entanglement spreading in a non-commutative gauge theory","Willy Fischler, Viktor Jahnke, Juan F. Pedraza"," Holographic theories with classical gravity duals are maximally chaotic: they
saturate a set of bounds on the spread of quantum information. In this paper we
question whether non-locality can affect such bounds. Specifically, we consider
the gravity dual of a prototypical theory with non-local interactions, namely,
$\mathcal{N}=4$ non-commutative super Yang Mills. We construct shock waves
geometries that correspond to perturbations of the thermofield double state
with definite momentum and study several chaos related properties of the
theory, including the butterfly velocity, the entanglement velocity, the
scrambling time and the maximal Lyapunov exponent. The latter two are
unaffected by the non-commutative parameter $\theta$, however, both the
butterfly and entanglement velocities increase with the strength of the
non-commutativity. This implies that non-local interactions can enhance the
effective light-cone for the transfer of quantum information, eluding
previously conjectured bounds encountered in the context of local quantum field
theory. We comment on a possible limitation on the retrieval of quantum
information imposed by non-locality.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10050
"
Forecasting Gamma-Ray Bursts using Gravitational Waves",Sarp Akcay," We explore the intriguing possibility of employing future ground-based
gravitational-wave interferometers to detect the inspiral of binary neutron
stars sufficiently early to alert electromagnetic observatories so that a
gamma-ray burst (GRB) can be observed in its entirety from its very beginning.
We quantify the ability to predict a GRB by computing the time a binary neutron
star (BNS) system takes to inspiral from its moment of detection to its final
merger. We define the moment of detection to be the instant at which the
interferometer network accumulates a signal-to-noise ratio of 15. For our
computations, we specifically consider BNS systems at luminosity distances of
(i) $D\le200\,$Mpc for the three-interferometer Advanced-LIGO-Virgo network of
2020, and (ii) $D\le 1000\,$Mpc for Einstein Telescope's B and C
configurations. In the case of Advanced LIGO-Virgo we find that we may at best
get a few minutes of warning time, thus we expect no forecast of GRBs in the
2020s. On the other hand, Einstein Telescope will provide us with advance
warning times of more than five hours for $D\le 100$Mpc. Taking one hour as a
benchmark advance warning time, we obtain a corresponding range of roughly 600
Mpc for the Einstein Telescope C configuration. Using current BNS merger event
rates within this volume, we show that Einstein C will forecast
$\gtrsim\mathcal{O}(10^2)$ GRBs in the 2030s. We reapply our warning-time
computation to binary black hole - neutron star inspirals and find 1 to 3 tidal
disruption events to be forecast by the same detector. This is a pedagogical
introduction to gravitational-wave astronomy written at a level accessible to
PhD students, advanced undergraduates, and colleagues in astronomy/astrophysics
who wish to learn more about the underlying physics. Though many of our results
may be known to the experts, they might nonetheless find this article
motivating and exciting.
",(Submitted on 29 Aug 2018),https://arxiv.org/abs/1808.10057
